Size,oz,g 
1/100,0.000909091,0.025772727
1/200,0.005,0.14175
1/96,0.010416667,0.2953125
1/96,0.010416667,0.2953125
1/64,0.015625,0.44296875
1/64,0.015625,0.44296875
1/64,0.015625,0.44296875
1/50,0.02,0.567
1/50,0.02,0.567
1/36,0.027777778,0.7875
1/32,0.03125,0.8859375
1/32,0.03125,0.8859375
1/32,0.03125,0.8859375
1/26,0.038461538,1.090384615
1/24,0.0417,1.18125
1/24,0.0417,1.18125
3/64,0.046875,1.32890625
1/20,0.05,1.4175
1/20,0.05,1.4175
1/16,0.0625,1.771875
1/16,0.0625,1.771875
1/16,0.0625,1.771875
1/16,0.0625,1.771875
1/16,0.0625,1.771875
1/16,0.0625,1.771875
1/16,0.0625,1.771875
1/16,0.0625,1.771875
1/16,0.0625,1.771875
1/15,0.066666667,1.89
1/13,0.0769,2.180769231
1/12,0.0833,2.3625
1/12,0.0833,2.3625
1/11,0.0909,2.577272727
3/32,0.09375,2.6578125
3/32,0.09375,2.6578125
3/32,0.09375,2.6578125
1/10,0.1000,2.835
1/10,0.1000,2.835
1/10,0.1000,2.835
1/9,0.1111,3.15
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
1/8,0.1250,3.54375
#3,0.1520,4.31
1/6,0.166666667,4.725
1/6,0.166666667,4.725
3/16,0.1875,5.315625
3/16,0.1875,5.315625
3/16,0.1875,5.315625
3/16,0.1875,5.315625
3/16,0.1875,5.315625
3/16,0.1875,5.315625
3/16,0.1875,5.315625
3/16,0.1875,5.315625
3/16,0.1875,5.315625
3/16,0.1875,5.315625
3/16,0.1875,5.315625
3/16,0.1875,5.315625
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
1/4,0.25,7.0875
#2,0.2543,7.21
5/16,0.3125,8.859375
5/16,0.3125,8.859375
1/3,0.333333333,9.45
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
3/8,0.375,10.63125
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
1/2,0.5000,14.175
